,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
139,Riyadh,   حي الرمال ,Northeast,350,0,5,5,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,55000
140,Riyadh,   حي الرمال ,North,450,0,5,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,60000
141,Riyadh,   حي الزهرة ,Southeast,500,14,4,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,45000
142,Riyadh,   حي النرجس ,East,260,0,3,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,100000
143,Riyadh,   حي الشهداء ,South,205,0,5,5,2,0,1,0,1,0,1,0,0,1,0,1,1,1,0,140000
144,Riyadh,   حي العارض ,East,250,2,4,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,85000
146,Riyadh,   حي الرمال ,East,460,4,1,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,75000
147,Riyadh,   حي الملقا ,South,200,3,7,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
148,Riyadh,   حي حطين ,North,155,0,3,5,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,180000
149,Riyadh,   حي الرمال ,West,400,0,5,5,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,60000
150,Riyadh,   حي اليرموك ,North,300,10,4,3,2,1,1,1,1,0,0,0,0,1,0,0,1,0,0,65000
151,Riyadh,   حي الملقا ,South,375,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,120000
152,Riyadh,   حي العارض ,East,300,2,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
153,Riyadh,   حي الرمال ,North,300,0,4,5,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,38000
154,Riyadh,   حي عليشة ,Southeast,340,0,3,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,55000
155,Riyadh,   حي العارض ,East,250,2,7,4,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,110000
156,Riyadh,   حي العقيق ,South,300,15,5,4,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0,120000
157,Riyadh,   حي الرحمانية ,Northeast,450,13,7,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,120000
158,Riyadh,   حي المصيف ,West,500,10,5,5,5,1,1,1,1,0,1,1,0,1,1,0,1,1,0,150000
159,Riyadh,   حي المونسية ,West,290,0,4,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,60000
160,Riyadh,   حي المصيف ,South,400,15,3,3,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,80000
161,Riyadh,   حي النرجس ,East,270,0,4,5,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,100000
162,Riyadh,   حي ظهرة لبن ,North,200,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000
163,Riyadh,   حي الملقا ,West,200,0,4,5,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,150000
165,Riyadh,   حي الرمال ,Northeast,300,0,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,48000
166,Riyadh,   حي الملقا ,South,250,2,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
167,Riyadh,   حي العارض ,South,300,2,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000
168,Riyadh,   حي الملك عبدالله ,South,2500,10,6,5,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,800000
169,Riyadh,   حي اليرموك ,West,375,7,4,5,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,65000
170,Riyadh,   حي العارض ,North,250,0,5,4,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,80000
171,Riyadh,   حي العقيق ,South,300,0,5,5,3,1,0,1,1,0,1,1,0,1,0,0,1,0,0,140000
172,Riyadh,   حي ظهرة لبن ,East,450,2,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,60000
173,Riyadh,   حي النرجس ,North,300,0,4,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,70000
174,Riyadh,   حي طويق ,Southwest,320,3,6,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,35000
175,Riyadh,   حي الروضة ,East,900,15,4,4,2,1,1,1,1,0,1,1,0,1,0,0,1,0,1,150000
176,Riyadh,   حي الملقا ,South,375,2,4,4,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,130000
177,Riyadh,   حي العارض ,South,300,0,4,2,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000
179,Riyadh,   حي المحمدية ,East,460,20,5,5,3,1,1,0,1,0,1,1,0,1,1,0,1,0,0,100000
180,Riyadh,   حي ام سليم ,Southeast,340,0,4,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,45000
181,Riyadh,   حي الاندلس ,North,330,15,7,5,3,1,1,0,1,0,1,1,0,1,0,1,1,0,0,75000
182,Riyadh,   حي المروج ,North,250,3,4,3,2,1,1,1,1,1,1,0,1,1,0,1,0,0,0,190000
183,Riyadh,   حي المؤتمرات ,West,240,15,3,4,3,1,1,1,1,0,1,0,0,1,0,1,1,0,0,200000
184,Riyadh,   حي السليمانية ,North,400,0,6,5,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
185,Riyadh,   حي القيروان ,East,300,0,2,5,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,80000
186,Riyadh,   حي الرمال ,North,206,0,4,4,2,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000
187,Riyadh,   حي الواحة ,East,550,18,4,4,4,1,1,1,1,0,0,0,0,1,0,0,1,0,0,90000
188,Riyadh,   حي الفيحاء ,East,600,14,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000
189,Riyadh,   حي المهدية ,South,300,0,6,5,2,0,1,0,1,0,0,1,0,1,0,0,1,0,1,42000
190,Riyadh,   حي الصحافة ,East,375,7,3,5,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,140000
191,Riyadh,   حي ظهرة لبن ,East,450,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000
192,Riyadh,   حي الرمال ,South,290,0,5,5,3,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
193,Riyadh,   حي العارض ,West,394,0,4,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,140000
194,Riyadh,   حي العقيق ,North,1200,15,7,5,4,1,1,1,1,0,1,1,1,1,0,0,1,0,0,400000
195,Riyadh,   حي المصيف ,North,600,20,5,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,125000
196,Riyadh,   حي العارض ,North,312,0,4,5,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,100000
197,Riyadh,   حي الملقا ,East,416,0,4,4,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,160000
198,Riyadh,   حي السليمانية ,North,270,5,3,4,2,1,1,1,1,0,1,0,1,1,0,1,1,0,0,125000
200,Riyadh,   حي النرجس ,North,230,0,4,3,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,80000
201,Riyadh,   حي العارض ,East,300,0,5,4,2,1,1,0,1,0,1,1,0,1,0,1,0,0,0,85000
202,Riyadh,   حي الزهرة ,North,280,10,7,4,2,1,1,0,1,0,0,0,0,1,0,1,1,0,0,35000
203,Riyadh,   حي العقيق ,Southeast,850,7,5,5,3,1,1,1,1,0,1,1,0,1,1,0,1,0,1,150000
204,Riyadh,   حي الصحافة ,West,375,10,4,5,4,1,1,1,1,1,1,1,0,1,0,0,1,0,0,105000
205,Riyadh,   حي الصحافة ,West,320,7,5,4,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000
206,Riyadh,   حي المعيزلة ,West,300,0,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,45000
207,Riyadh,   حي الرائد ,South,375,8,4,5,2,1,1,0,1,0,1,1,0,0,0,0,1,0,0,100000
208,Riyadh,   حي الصحافة ,Northeast,250,7,4,5,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,95000
209,Riyadh,   حي الروابي ,Four Streets,3060,0,4,4,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,80000
210,Riyadh,   حي طويق ,East,264,0,7,5,3,1,1,0,1,0,1,1,0,1,0,1,1,0,1,50000
211,Riyadh,   حي الرحمانية ,North,450,12,7,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,130000
212,Riyadh,   حي اشبيلية ,South,360,6,7,5,2,0,1,1,1,0,1,1,0,1,0,0,1,0,1,80000
213,Riyadh,   حي الرمال ,North,206,2,4,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,60000
214,Riyadh,   حي العقيق ,West,318,7,4,4,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,85000
216,Riyadh,   حي اليرموك ,Southeast,400,8,7,5,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,60000
217,Riyadh,   حي الوشام ,East,525,25,3,3,2,1,1,0,1,0,1,0,1,1,0,0,1,0,0,90000
218,Riyadh,   حي اليرموك ,South,275,10,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,60000
